Individual,Phenotype,X1,X2,X1X2
1,0.562988064,-0.260861462,-1.649619064,0.430322041
1,0.918286197,0.423576016,-1.185811114,-0.502281147
1,1.158971748,0.803393604,-1.45548024,-1.169323515
1,-0.124067591,-1.207637424,-1.24021946,1.497735434
1,0.551698167,-0.135617759,-1.133973795,0.153786985
1,0.844994268,1.011544331,-1.017106718,-1.028848534
1,0.300826809,-0.121165482,-0.655539558,0.079428767
1,0.43669464,-0.303330306,-0.385602753,0.116965001
1,0.781847402,1.337912403,-0.337626694,-0.451714942
1,-0.08679938,-1.438594383,-0.53268709,0.766320656
1,0.397819736,-0.703692495,-0.607833562,0.427727916
1,0.596625244,0.809222557,-0.454160217,-0.367516692
1,0.218192041,-0.011627841,0.104805792,-0.001218665
1,0.520288378,0.04963872,0.327918534,0.016277456
1,0.172646535,-0.630010942,0.539585734,-0.339944917
1,0.465006482,0.050643674,0.261469988,0.013241801
1,0.205921374,0.051296305,1.146591294,0.058815897
2,-1.074349224,-0.260861462,-1.649619064,0.430322041
2,-1.133924872,0.289342618,-1.532751987,-0.443490472
2,-1.142528064,-1.381637018,-1.426506322,1.97091394
2,-1.140779911,-1.486592444,-1.409899518,2.09594597
2,-1.045259485,-0.135617759,-1.133973795,0.153786985
2,-1.31653781,-0.426545193,-0.894756677,0.381654159
2,-0.875231641,-0.303330306,-0.385602753,0.116965001
2,-0.807922833,-1.244271368,-0.379613835,0.472342626
2,-0.878605554,0.323752839,-0.482583762,-0.156237863
2,-0.85486368,1.365893447,-0.13989429,-0.191080693
2,-0.768579313,-0.630010942,0.539585734,-0.339944917
2,-0.688376084,0.313139359,0.497598593,0.155817704
2,-0.48938542,1.202018753,0.394628666,0.474351057
2,-0.789866271,-0.823642993,0.273510188,-0.22527475
2,-1.023141099,-1.857330382,0.298944617,-0.55523892
2,-0.738978325,-0.790242372,0.350514256,-0.276991217
2,-0.627395786,-0.880221726,1.449957493,-1.276284087
2,-0.298545077,1.022492008,1.324707693,1.354503029
2,-0.312228519,1.359416767,1.300264639,1.767601552
2,-0.202783694,1.398995882,1.391417825,1.946587807
3,0.032785897,-0.260861462,-1.649619064,0.430322041
3,-0.886243379,0.423576016,-1.185811114,-0.502281147
3,0.037307875,-0.951890418,-1.214839122,1.15639372
3,-1.843826615,2.497336478,-1.256826263,-3.138718074
3,0.147936248,-1.242000833,-1.306929591,1.623207642
3,-0.864402554,0.803393604,-1.45548024,-1.169323515
3,0.212404028,-1.207637424,-1.24021946,1.497735434
3,-1.047823068,-1.471712871,-0.017544249,0.025820096
3,-1.257828478,-0.790242372,0.350514256,-0.276991217
3,-0.508499756,0.771681619,0.620451061,0.47879068
3,-2.380512711,-2.418370655,0.982018221,-2.374884048
3,-2.007454667,-0.869093154,1.368822104,-1.18963392
3,-2.043696183,-0.880221726,1.449957493,-1.276284087
3,-0.393501116,1.022492008,1.324707693,1.354503029
3,-0.286547394,1.285542744,1.49766349,1.925310432
3,-1.991532089,-0.561450556,1.736880608,-0.975172582
4,-0.45527357,0.289342618,-1.532751987,-0.443490472
4,-0.260706534,0.423576016,-1.185811114,-0.502281147
4,-0.221867068,-0.369417894,-1.480914668,0.547076377
4,-0.553055124,1.112365723,-1.492954868,-1.660711822
4,-0.078552677,-0.426545193,-0.894756677,0.381654159
4,0.309268817,-0.121165482,-0.655539558,0.079428767
4,-0.204338495,0.684137487,-0.458140708,-0.313431233
4,-0.310555762,1.337912403,-0.337626694,-0.451714942
4,0.496975325,-1.244271368,-0.379613835,0.472342626
4,-0.181738557,1.038170652,-0.256761367,-0.266562116
4,0.129254994,-0.011627841,0.104805792,-0.001218665
4,0.813078996,-0.823642993,0.273510188,-0.22527475
4,-0.610620472,2.182771474,0.514205397,1.122392871
4,1.739492605,-2.418370655,0.982018221,-2.374884048
4,1.287284272,-0.879898636,1.296284148,-1.140598653
4,1.309436557,-0.869093154,1.368822104,-1.18963392
4,1.273001368,-0.880221726,1.449957493,-1.276284087
4,0.684488804,0.398319442,1.445826171,0.575900674
4,0.333090124,0.754088279,1.221737766,0.92129813
4,0.255188691,0.818124744,1.138682417,0.93158426
5,0.597743535,-0.260861462,-1.649619064,0.430322041
5,-0.050806855,-1.381637018,-1.426506322,1.97091394
5,1.304229103,1.695641946,-1.262815181,-2.141282391
5,0.895142684,0.628125179,-1.211245542,-0.760813823
5,0.673294998,-0.369417894,-1.480914668,0.547076377
5,0.921862261,0.199606488,-0.772406636,-0.154177376
5,0.749623285,-0.121165482,-0.655539558,0.079428767
5,0.989417249,0.275974638,-0.334033114,-0.092184668
5,0.869416127,-0.139193706,-0.429717163,0.059813925
5,0.973281738,0.04963872,0.327918534,0.016277456
5,0.763034439,0.502288393,0.491609675,0.246929834
5,0.935766927,0.313139359,0.497598593,0.155817704
5,0.890599378,0.834942696,0.344525338,0.287658915
5,1.40810351,-1.857330382,0.298944617,-0.55523892
5,1.10461601,-0.790242372,0.350514256,-0.276991217
5,1.748600693,-0.879898636,1.296284148,-1.140598653
5,1.851544142,-0.869093154,1.368822104,-1.18963392
5,1.75091338,-0.880221726,1.449957493,-1.276284087
5,1.956105917,-1.316738128,1.176157045,-1.548690826
6,-0.185005591,-0.242509022,-1.451886659,0.352095613
6,-0.443937795,0.803393604,-1.45548024,-1.169323515
6,0.171449037,0.440966736,-0.549293894,-0.242220336
6,0.218022141,0.684137487,-0.458140708,-0.313431233
6,0.150073743,1.337912403,-0.337626694,-0.451714942
6,0.163679343,-1.244271368,-0.379613835,0.472342626
6,0.071170176,0.766055246,-0.60370224,-0.462469268
6,0.070074854,0.316316763,-0.61574244,-0.194769656
6,0.31023476,-0.703692495,-0.607833562,0.427727916
6,0.258456377,-0.491113031,-0.526698173,0.258668336
6,0.216014262,0.809222557,-0.454160217,-0.367516692
6,0.360780131,-1.471712871,-0.017544249,0.025820096
6,0.725201087,0.948925124,0.22167287,0.210350955
6,0.483257489,0.04963872,0.327918534,0.016277456
6,0.75129298,0.834942696,0.344525338,0.287658915
6,0.5587307,0.050643674,0.261469988,0.013241801
6,0.44434657,-0.790242372,0.350514256,-0.276991217
6,1.364794739,0.676626508,1.098885298,0.743534922
6,1.329389713,0.398319442,1.445826171,0.575900674
6,1.049618041,-0.072335406,1.374811021,-0.099447513
7,0.249856173,-1.433037874,-1.173770914,1.682058174
7,1.044259352,0.423576016,-1.185811114,-0.502281147
7,0.863199079,-0.369417894,-1.480914668,0.547076377
7,0.881116154,-0.135617759,-1.133973795,0.153786985
7,0.676286696,-0.426545193,-0.894756677,0.381654159
7,1.068001899,0.199606488,-0.772406636,-0.154177376
7,0.712087458,0.275974638,-0.334033114,-0.092184668
7,0.691922885,0.316316763,-0.61574244,-0.194769656
7,0.814309733,-1.471712871,-0.017544249,0.025820096
7,0.750088369,-0.630010942,0.539585734,-0.339944917
7,0.849249553,-0.515285875,0.302538197,-0.15589366
7,0.783629827,-0.823642993,0.273510188,-0.22527475
7,0.7819157,-0.336413465,0.423052211,-0.14232046
7,0.965476804,-1.004337448,0.85966818,-0.863396945
7,1.442392293,-1.745133249,1.205130963,-2.103114112
7,0.937208916,-0.869093154,1.368822104,-1.18963392
7,-1.275307982,1.8342684,1.416798162,2.598788098
7,0.011429503,0.529546925,1.271841094,0.67349954
7,0.548356305,0.051296305,1.146591294,0.058815897
7,-0.59436219,1.359416767,1.300264639,1.767601552
7,-0.565600706,1.285542744,1.49766349,1.925310432
7,0.632494341,-0.561450556,1.736880608,-0.975172582
8,0.416882807,0.289342618,-1.532751987,-0.443490472
8,-0.416490798,-1.381637018,-1.426506322,1.97091394
8,0.170948382,0.127423871,-1.335353137,-0.170155866
8,-0.292027973,-1.433037874,-1.173770914,1.682058174
8,0.053187625,-0.242509022,-1.451886659,0.352095613
8,-0.149954859,-0.424541289,-1.331372645,0.565222658
8,-0.362388508,-1.207637424,-1.24021946,1.497735434
8,0.985914134,1.87065298,-0.304467363,-0.56955278
8,0.747030658,1.492275977,-0.308598686,-0.460514405
8,0.084409107,-0.204879067,-0.363007032,0.074372542
8,-0.567709271,-1.471712871,-0.017544249,0.025820096
8,0.201100567,0.04963872,0.327918534,0.016277456
8,0.535696092,0.66685067,0.41907172,0.279458257
8,0.214063927,0.502288393,0.491609675,0.246929834
8,0.168433216,0.202901529,0.580653943,0.117815573
8,0.597147661,1.202018753,0.394628666,0.474351057
8,0.43221682,0.676626508,1.098885298,0.743534922
8,0.021972831,-0.726966832,1.457866371,-1.059820498
8,-0.471441878,-1.212832914,1.150722617,-1.395634264
9,0.212907078,-1.381637018,-1.426506322,1.97091394
9,0.435814302,-0.750583598,-1.181679791,0.88694947
9,0.257044061,-1.486592444,-1.409899518,2.09594597
9,1.003583036,0.803393604,-1.45548024,-1.169323515
9,0.569855273,-0.424541289,-1.331372645,0.565222658
9,0.713933832,1.011544331,-1.017106718,-1.028848534
9,0.799410327,-0.121165482,-0.655539558,0.079428767
9,0.372156005,-1.438594383,-0.53268709,0.766320656
9,0.696580745,0.316316763,-0.61574244,-0.194769656
9,0.737940101,-0.781901959,0.568613743,-0.444600199
9,0.359407002,-0.823642993,0.273510188,-0.22527475
9,0.417075514,-1.857330382,0.298944617,-0.55523892
9,0.737620931,-0.726966832,1.457866371,-1.059820498
9,0.592317274,-0.072335406,1.374811021,-0.099447513
9,0.880825881,0.393233713,1.179750625,0.463917719
10,0.694514839,-0.750583598,-1.181679791,0.88694947
10,1.05327903,-0.951890418,-1.214839122,1.15639372
