Replicate,Individual,Group,Individual_Trait,Trait,Time,Phenotype,B0,B1,B2,B12,I,S1,S2,S12,X1,X2,X1X2,G,e
1,1,1,1,1,2,7.147179467,3.4,1.3,0,0,1.198279778,0,0,0,1.52538368,0,0,0,0.565900905
1,1,1,1,1,4,5.421072618,3.4,1.3,0,0,1.198279778,0,0,0,0.707083469,0,0,0,-0.09641567
1,1,1,1,1,6,4.541533992,3.4,1.3,0,0,1.198279778,0,0,0,0.02496124,0,0,0,-0.089195398
1,1,1,1,1,26,4.693355749,3.4,1.3,0,0,1.198279778,0,0,0,0.113152009,0,0,0,-0.052021641
1,1,1,1,1,51,4.789688997,3.4,1.3,0,0,1.198279778,0,0,0,5.73E-05,0,0,0,0.19133478
1,1,1,1,1,74,3.974718299,3.4,1.3,0,0,1.198279778,0,0,0,-0.509774771,0,0,0,0.039145723
1,1,1,1,1,79,4.191572524,3.4,1.3,0,0,1.198279778,0,0,0,-0.205426876,0,0,0,-0.139652316
1,1,1,1,1,83,4.929283735,3.4,1.3,0,0,1.198279778,0,0,0,0.121272609,0,0,0,0.173349566
1,1,1,1,1,90,3.278261133,3.4,1.3,0,0,1.198279778,0,0,0,-0.941826912,0,0,0,-0.09564366
1,1,1,1,1,99,4.992598188,3.4,1.3,0,0,1.198279778,0,0,0,0.162049739,0,0,0,0.183653749
1,2,1,2,1,20,2.860540753,3.4,1.3,0,0,-0.446005865,0,0,0,-0.209957538,0,0,0,0.179491416
1,2,1,2,1,25,3.226220024,3.4,1.3,0,0,-0.446005865,0,0,0,0.256495876,0,0,0,-0.061218749
1,2,1,2,1,30,2.784643723,3.4,1.3,0,0,-0.446005865,0,0,0,-0.026654616,0,0,0,-0.134699413
1,2,1,2,1,32,2.04865638,3.4,1.3,0,0,-0.446005865,0,0,0,-0.861221122,0,0,0,0.214249704
1,2,1,2,1,49,2.361873314,3.4,1.3,0,0,-0.446005865,0,0,0,-0.293999421,0,0,0,-0.209921574
1,2,1,2,1,52,3.402323679,3.4,1.3,0,0,-0.446005865,0,0,0,0.405174914,0,0,0,-0.078397845
1,2,1,2,1,66,4.395000422,3.4,1.3,0,0,-0.446005865,0,0,0,0.913486734,0,0,0,0.253473532
1,2,1,2,1,68,1.961621087,3.4,1.3,0,0,-0.446005865,0,0,0,-0.843682077,0,0,0,0.104413652
1,2,1,2,1,73,4.31680824,3.4,1.3,0,0,-0.446005865,0,0,0,1.232565716,0,0,0,-0.239521326
1,2,1,2,1,79,3.042961164,3.4,1.3,0,0,-0.446005865,0,0,0,-0.205426876,0,0,0,0.356021967
1,3,1,3,1,1,4.403161845,3.4,1.3,0,0,1.454567845,0,0,0,-0.032143828,0,0,0,-0.409619024
1,3,1,3,1,15,5.13681323,3.4,1.3,0,0,1.454567845,0,0,0,0.433823424,0,0,0,-0.281725066
1,3,1,3,1,18,4.021893438,3.4,1.3,0,0,1.454567845,0,0,0,-0.528709866,0,0,0,-0.145351581
1,3,1,3,1,22,4.352496367,3.4,1.3,0,0,1.454567845,0,0,0,-0.582818322,0,0,0,0.255592341
1,3,1,3,1,33,4.427540014,3.4,1.3,0,0,1.454567845,0,0,0,-0.314921241,0,0,0,-0.017630218
1,3,1,3,1,41,5.157849989,3.4,1.3,0,0,1.454567845,0,0,0,0.267182725,0,0,0,-0.044055399
1,3,1,3,1,45,5.969681458,3.4,1.3,0,0,1.454567845,0,0,0,0.849355684,0,0,0,0.010951224
1,3,1,3,1,47,5.454282366,3.4,1.3,0,0,1.454567845,0,0,0,0.613760602,0,0,0,-0.198174262
1,3,1,3,1,48,5.081164687,3.4,1.3,0,0,1.454567845,0,0,0,-0.348379018,0,0,0,0.679489566
1,3,1,3,1,53,5.593314616,3.4,1.3,0,0,1.454567845,0,0,0,0.890997753,0,0,0,-0.419550308
