,Replicate,Individual,Individual_Trait,Trait,Time,Phenotype,B0,B1,B2,B12,I,S1,S2,S12,X1,X2,X1X2,G,e
17,1,1,1,1,17,0.708828531,0,0.5,0.3,0,1.449157009,0,0,0,-0.299368866,-1.154714829,0,0,-0.244229596
27,1,1,1,1,27,0.801943744,0,0.5,0.3,0,1.449157009,0,0,0,-0.364031009,-0.810023835,0,0,-0.222190609
37,1,1,1,1,37,1.35354744,0,0.5,0.3,0,1.449157009,0,0,0,-0.686825386,-0.465332842,0,0,0.387402977
71,1,1,1,1,71,1.70039253,0,0.5,0.3,0,1.449157009,0,0,0,0.259175615,0.706616537,0,0,-0.090337247
79,1,1,1,1,79,1.842130306,0,0.5,0.3,0,1.449157009,0,0,0,0.467347013,0.982369332,0,0,-0.135411009
89,1,1,1,1,89,1.811112526,0,0.5,0.3,0,1.449157009,0,0,0,-0.732412384,1.327060326,0,0,0.330043611
95,1,1,1,1,95,1.134693083,0,0.5,0.3,0,1.449157009,0,0,0,-1.203282274,1.533874922,0,0,-0.172985266
119,1,2,2,1,19,-2.461653251,0,0.5,0.3,0,-2.186847367,0,0,0,-0.11320478,-1.08577663,0,0,0.107529496
143,1,2,2,1,43,-2.38771372,0,0.5,0.3,0,-2.186847367,0,0,0,-0.878383238,-0.258518245,0,0,0.31588074
147,1,2,2,1,47,-1.383793362,0,0.5,0.3,0,-2.186847367,0,0,0,1.001370395,-0.120641848,0,0,0.338561363
151,1,2,2,1,51,-2.794591011,0,0.5,0.3,0,-2.186847367,0,0,0,-1.379144866,0.01723455,0,0,0.076658425
156,1,2,2,1,56,-1.678239446,0,0.5,0.3,0,-2.186847367,0,0,0,0.773259113,0.189580047,0,0,0.065104351
175,1,2,2,1,75,-2.549165633,0,0.5,0.3,0,-2.186847367,0,0,0,-1.351684284,0.844492935,0,0,0.060175996
196,1,2,2,1,96,-2.205086821,0,0.5,0.3,0,-2.186847367,0,0,0,-0.915989409,1.568344022,0,0,-0.030747955
198,1,2,2,1,98,-2.148868235,0,0.5,0.3,0,-2.186847367,0,0,0,-1.302542894,1.63728222,0,0,0.198065913
226,1,3,3,1,26,0.463741836,0,0.5,0.3,0,-0.489633028,0,0,0,2.568932414,-0.844492935,0,0,-0.077743462
230,1,3,3,1,30,-0.35283273,0,0.5,0.3,0,-0.489633028,0,0,0,1.224409982,-0.706616537,0,0,-0.263419731
236,1,3,3,1,36,-0.741007029,0,0.5,0.3,0,-0.489633028,0,0,0,-0.293410367,-0.499801941,0,0,0.045271765
245,1,3,3,1,45,-0.623721807,0,0.5,0.3,0,-0.489633028,0,0,0,0.167616842,-0.189580047,0,0,-0.161023186
271,1,3,3,1,71,-0.441258905,0,0.5,0.3,0,-0.489633028,0,0,0,0.259175615,0.706616537,0,0,-0.293198646
274,1,3,3,1,74,0.347526861,0,0.5,0.3,0,-0.489633028,0,0,0,1.05183411,0.810023835,0,0,0.068235683
289,1,3,3,1,89,-0.159605369,0,0.5,0.3,0,-0.489633028,0,0,0,-0.732412384,1.327060326,0,0,0.298115753
290,1,3,3,1,90,0.013511084,0,0.5,0.3,0,-0.489633028,0,0,0,-0.611543617,1.361529425,0,0,0.400457093
297,1,3,3,1,97,-0.60705364,0,0.5,0.3,0,-0.489633028,0,0,0,-1.278373823,1.602813121,0,0,0.040922364
316,1,4,4,1,16,-1.022433334,0,0.5,0.3,0,-0.769998475,0,0,0,0.519855305,-1.189183929,0,0,-0.155607333
329,1,4,4,1,29,-1.117679347,0,0.5,0.3,0,-0.769998475,0,0,0,0.730665649,-0.741085637,0,0,-0.490688005
337,1,4,4,1,37,-1.659167657,0,0.5,0.3,0,-0.769998475,0,0,0,-0.686825386,-0.465332842,0,0,-0.406156637
374,1,4,4,1,74,0.002113332,0,0.5,0.3,0,-0.769998475,0,0,0,1.05183411,0.810023835,0,0,0.003187602
381,1,4,4,1,81,-0.689176544,0,0.5,0.3,0,-0.769998475,0,0,0,-0.599901809,1.051307531,0,0,0.065380576
384,1,4,4,1,84,-0.287732826,0,0.5,0.3,0,-0.769998475,0,0,0,0.623043402,1.154714829,0,0,-0.175670501
393,1,4,4,1,93,-0.113565537,0,0.5,0.3,0,-0.769998475,0,0,0,-0.424840011,1.464936724,0,0,0.429371927
394,1,4,4,1,94,0.486160999,0,0.5,0.3,0,-0.769998475,0,0,0,0.918725447,1.499405823,0,0,0.346975003
403,1,5,5,1,3,-1.569597892,0,0.5,0.3,0,-0.221086981,0,0,0,-2.230170093,-1.63728222,0,0,0.257758801
414,1,5,5,1,14,0.675849864,0,0.5,0.3,0,-0.221086981,0,0,0,2.485608639,-1.258122127,0,0,0.031569163
428,1,5,5,1,28,-1.15597181,0,0.5,0.3,0,-0.221086981,0,0,0,-1.236580101,-0.775554736,0,0,-0.083928358
429,1,5,5,1,29,-0.022155646,0,0.5,0.3,0,-0.221086981,0,0,0,0.730665649,-0.741085637,0,0,0.055924201
446,1,5,5,1,46,-0.004093173,0,0.5,0.3,0,-0.221086981,0,0,0,-0.283834796,-0.155110947,0,0,0.40544449
459,1,5,5,1,59,0.861154916,0,0.5,0.3,0,-0.221086981,0,0,0,0.88373525,0.292987345,0,0,0.552478069
482,1,5,5,1,82,0.574346864,0,0.5,0.3,0,-0.221086981,0,0,0,1.380703168,1.08577663,0,0,-0.220650729
483,1,5,5,1,83,0.43981987,0,0.5,0.3,0,-0.221086981,0,0,0,0.330865198,1.12024573,0,0,0.159400533
485,1,5,5,1,85,-1.039044727,0,0.5,0.3,0,-0.221086981,0,0,0,-1.157105706,1.189183929,0,0,-0.596160072
486,1,5,5,1,86,0.629455656,0,0.5,0.3,0,-0.221086981,0,0,0,1.001549879,1.223653028,0,0,-0.017328211
489,1,5,5,1,89,-0.128779651,0,0.5,0.3,0,-0.221086981,0,0,0,-0.732412384,1.327060326,0,0,0.060395424
503,1,6,6,1,3,-1.509455476,0,0.5,0.3,0,-0.031196494,0,0,0,-2.230170093,-1.63728222,0,0,0.128010731
515,1,6,6,1,15,-0.088470241,0,0.5,0.3,0,-0.031196494,0,0,0,0.341520092,-1.223653028,0,0,0.139062115
528,1,6,6,1,28,-0.21110458,0,0.5,0.3,0,-0.031196494,0,0,0,-1.236580101,-0.775554736,0,0,0.671048385
537,1,6,6,1,37,-0.709610918,0,0.5,0.3,0,-0.031196494,0,0,0,-0.686825386,-0.465332842,0,0,-0.195401879
541,1,6,6,1,41,0.530214696,0,0.5,0.3,0,-0.031196494,0,0,0,1.217491147,-0.327456444,0,0,0.050902549
562,1,6,6,1,62,-0.357418106,0,0.5,0.3,0,-0.031196494,0,0,0,-0.873346019,0.396394643,0,0,-0.008466996
572,1,6,6,1,72,0.766190391,0,0.5,0.3,0,-0.031196494,0,0,0,1.268247844,0.741085637,0,0,-0.059062728
581,1,6,6,1,81,0.078492983,0,0.5,0.3,0,-0.031196494,0,0,0,-0.599901809,1.051307531,0,0,0.094248122
589,1,6,6,1,89,-0.004756105,0,0.5,0.3,0,-0.031196494,0,0,0,-0.732412384,1.327060326,0,0,-0.005471518
592,1,6,6,1,92,1.351954619,0,0.5,0.3,0,-0.031196494,0,0,0,1.848938817,1.430467624,0,0,0.029541418
617,1,7,7,1,17,0.316321132,0,0.5,0.3,0,0.760960809,0,0,0,-0.299368866,-1.154714829,0,0,0.051459204
624,1,7,7,1,24,-0.035141285,0,0.5,0.3,0,0.760960809,0,0,0,-1.035828811,-0.913431133,0,0,-0.004158349
648,1,7,7,1,48,-0.259891008,0,0.5,0.3,0,0.760960809,0,0,0,-1.21523471,-0.086172748,0,0,-0.387382638
652,1,7,7,1,52,0.202917068,0,0.5,0.3,0,0.760960809,0,0,0,-0.912763529,0.051703649,0,0,-0.117173071
668,1,7,7,1,68,2.263908021,0,0.5,0.3,0,0.760960809,0,0,0,0.883666929,0.603209239,0,0,0.880150975
669,1,7,7,1,69,1.097359416,0,0.5,0.3,0,0.760960809,0,0,0,0.454119468,0.637678338,0,0,-0.081964629
691,1,7,7,1,91,1.266507038,0,0.5,0.3,0,0.760960809,0,0,0,-0.384629381,1.395998525,0,0,0.279061362
716,1,8,8,1,16,-0.495675923,0,0.5,0.3,0,-0.70662622,0,0,0,0.519855305,-1.189183929,0,0,0.307777823
722,1,8,8,1,22,-1.430820826,0,0.5,0.3,0,-0.70662622,0,0,0,-1.156049112,-0.982369332,0,0,0.148540749
733,1,8,8,1,33,-1.014998492,0,0.5,0.3,0,-0.70662622,0,0,0,-0.549185425,-0.603209239,0,0,0.147183212
762,1,8,8,1,62,-0.925123773,0,0.5,0.3,0,-0.70662622,0,0,0,-0.873346019,0.396394643,0,0,0.099257064
773,1,8,8,1,73,-0.067181253,0,0.5,0.3,0,-0.70662622,0,0,0,0.674645083,0.775554736,0,0,0.069456004
776,1,8,8,1,76,-0.18713356,0,0.5,0.3,0,-0.70662622,0,0,0,0.100555627,0.878962034,0,0,0.205526236
783,1,8,8,1,83,-0.313566161,0,0.5,0.3,0,-0.70662622,0,0,0,0.330865198,1.12024573,0,0,-0.10844626
790,1,8,8,1,90,-0.440578213,0,0.5,0.3,0,-0.70662622,0,0,0,-0.611543617,1.361529425,0,0,0.163360988
794,1,8,8,1,94,-0.056915448,0,0.5,0.3,0,-0.70662622,0,0,0,0.918725447,1.499405823,0,0,-0.259473699
798,1,8,8,1,98,-0.7039212,0,0.5,0.3,0,-0.70662622,0,0,0,-1.302542894,1.63728222,0,0,0.1627918
