Individual,Phenotype,X1
1,0.816922505,1.576770961
1,0.522790368,0.198261666
1,0.233069257,-1.257293397
1,0.492799765,-1.347678491
1,0.810023308,-0.592539907
1,1.196991034,0.623607713
1,1.886657049,0.931655358
1,1.885181881,0.629627894
1,1.691091701,-0.214650914
1,1.742604901,-0.420778864
1,1.878095082,-1.161019787
1,2.093813024,-0.357453162
1,2.197357412,-1.414737647
1,2.244914273,-1.652050955
1,3.178119189,0.591348183
1,3.526912176,0.960621694
1,3.408138482,0.246098694
1,3.093759551,-1.391283469
1,3.341881669,-1.223832661
1,4.064439007,-0.399100761
2,6.715747035,1.576770961
2,5.252013954,0.198261666
2,3.833101305,-1.257293397
2,3.81691753,-1.347678491
2,4.964650969,-0.592539907
2,6.579820136,0.623607713
2,7.245245855,0.931655358
2,7.089441471,0.629627894
2,6.10545255,-0.214650914
2,6.095640989,-0.420778864
2,5.573093926,-1.161019787
2,6.575725656,-0.357453162
2,5.528837448,-1.414737647
2,5.485714565,-1.652050955
2,8.260101831,0.591348183
2,8.792587686,0.960621694
2,8.283309663,0.246098694
2,6.634828555,-1.391283469
2,7.002489418,-1.223832661
2,8.305220292,-0.399100761
3,11.50232846,1.576770961
3,8.809498091,0.198261666
3,5.878013699,-1.257293397
3,5.864760889,-1.347678491
3,7.767657624,-0.592539907
3,10.49743458,0.623607713
3,11.38835184,0.931655358
3,10.89907617,0.629627894
3,9.26063152,-0.214650914
3,9.120327395,-0.420778864
3,7.865304832,-1.161019787
3,9.711950617,-0.357453162
3,7.88275996,-1.414737647
3,7.283776798,-1.652050955
3,12.40940276,0.591348183
3,13.33782973,0.960621694
3,11.71944686,0.246098694
3,8.694475677,-1.391283469
3,9.160167424,-1.223832661
3,11.28590391,-0.399100761
4,13.28054826,1.576770961
4,12.56185942,0.198261666
4,11.84821614,-1.257293397
4,12.01460969,-1.347678491
4,12.65791174,-0.592539907
4,13.67555112,0.623607713
4,14.33400071,0.931655358
4,13.9946838,0.629627894
4,13.61292874,-0.214650914
4,13.87913703,-0.420778864
4,13.33488566,-1.161019787
4,14.41679756,-0.357453162
4,13.64292639,-1.414737647
4,13.53792993,-1.652050955
4,15.45920359,0.591348183
4,15.95698784,0.960621694
4,15.55244541,0.246098694
4,14.66739903,-1.391283469
4,15.08342016,-1.223832661
4,15.88987743,-0.399100761
5,17.84464875,1.576770961
5,16.63159031,0.198261666
5,15.17847874,-1.257293397
5,15.21037025,-1.347678491
5,16.0794082,-0.592539907
5,17.67059528,0.623607713
5,18.48044197,0.931655358
5,18.27737075,0.629627894
5,17.4820458,-0.214650914
5,17.34723991,-0.420778864
5,16.93899326,-1.161019787
5,17.93572177,-0.357453162
5,16.98818558,-1.414737647
5,16.85784136,-1.652050955
5,19.88527109,0.591348183
5,20.17910525,0.960621694
5,19.55885957,0.246098694
5,17.9588441,-1.391283469
5,18.53579645,-1.223832661
5,19.53080209,-0.399100761
